Kod,Razem,0 – 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 lat i więcej
D21.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D23.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D23.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
D24            ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
D25.9          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
D26.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-
D27            ,9,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,2,3,-,-
D28.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D28.7          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
D28.9          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-
D29.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D30.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D30.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D30.3          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-
D30.7          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D30.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-
D31.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D31.5          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D31.6          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D32.0          ,59,-,-,-,-,-,-,-,1,1,-,1,4,3,5,9,5,13,11,4,2
D32.1          ,5,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1,-,-,1
D32.9          ,30,-,-,-,-,-,-,-,-,-,-,1,1,1,4,4,5,10,1,2,1
D33.0          ,16,1,-,-,-,-,-,-,-,-,1,1,-,2,4,1,1,2,2,1,-
D33.1          ,13,-,-,-,-,-,1,-,-,1,-,-,1,1,2,4,1,-,2,-,-
D33.2          ,11,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,4,1,-,-
D33.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D33.4          ,4,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-
D33.9          ,15,-,-,-,-,-,-,1,-,-,-,-,3,-,1,5,2,3,-,-,-
D35.0          ,5,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,1,-,-,-
D35.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D35.2          ,15,-,-,-,-,-,-,-,1,1,-,2,1,2,-,5,2,-,1,-,-
D35.5          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D35.7          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D35.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
D36.1          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
D36.7          ,3,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-
D36.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-
D37.0          ,89,-,-,-,-,-,-,-,-,1,4,4,7,13,16,7,11,8,13,3,2
D37.1          ,171,-,-,-,-,-,-,-,-,-,-,4,12,16,21,14,23,38,27,15,1
D37.2          ,27,-,-,-,-,-,-,-,-,-,-,2,1,4,2,1,4,6,2,4,1
D37.3          ,19,-,-,-,-,-,-,-,-,-,-,1,-,1,3,2,1,5,3,3,-
D37.4          ,462,-,-,-,-,-,-,-,1,1,5,4,10,27,40,66,72,97,78,51,10
D37.5          ,133,-,-,-,-,-,-,-,-,2,-,3,7,10,16,19,11,17,26,18,4
D37.6          ,666,-,-,-,-,-,-,2,1,4,3,19,23,72,84,84,108,111,100,46,9
D37.7          ,669,-,-,-,-,-,-,-,-,4,6,15,31,57,101,94,81,135,86,46,13
D37.9          ,291,-,-,-,-,-,-,-,1,-,3,7,11,23,38,36,33,50,57,29,3
D38.0          ,40,-,-,-,-,-,-,-,-,-,-,3,6,7,5,3,9,2,4,-,1
D38.1          ,1996,-,-,-,-,-,-,-,2,6,13,34,96,180,348,320,288,342,247,103,17
D38.2          ,37,-,-,-,-,-,-,-,1,-,1,-,1,2,7,4,6,8,4,3,-
D38.3          ,86,-,-,-,-,-,-,2,1,-,1,2,11,9,14,12,13,11,7,2,1
D38.4          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
D38.5          ,35,-,-,-,-,-,-,-,-,-,1,-,4,7,4,3,7,3,5,-,1
D38.6          ,237,-,-,-,-,-,-,-,-,1,3,1,13,31,45,35,34,34,29,11,-
D39.0          ,34,-,-,-,-,-,-,-,-,-,-,2,1,2,2,4,2,8,8,3,2
D39.1          ,84,-,-,-,-,-,-,-,-,1,-,1,4,7,9,12,15,12,12,9,2
D39.7          ,18,-,-,-,-,-,-,-,-,-,-,1,1,-,1,3,2,2,5,3,-
D39.9          ,105,-,-,-,-,-,-,1,1,-,1,1,6,8,11,17,18,18,7,12,4
D40.0          ,35,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,7,10,7,7,-
D40.1          ,2,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
D40.7          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
D40.9          ,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,3,1,-
D41.0          ,247,-,-,-,-,-,-,-,-,1,3,7,8,14,34,43,32,44,36,21,4
D41.1          ,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,4,1,1
D41.2          ,10,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,-,2,2,-,-
D41.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
D41.4          ,173,-,-,-,-,-,-,-,-,-,1,1,7,14,11,20,28,30,43,10,8
D41.7          ,6,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,-,1,1,-,-
D41.9          ,57,-,-,-,-,-,-,1,1,-,-,3,2,4,4,4,9,11,9,8,1
D42.0          ,24,-,-,-,-,-,-,-,-,-,2,-,-,2,2,5,5,2,5,-,1
D42.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D42.9          ,15,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,1,4,3,2,1
D43.0          ,222,-,-,1,1,-,3,1,1,2,2,3,11,24,40,41,33,29,20,10,-
D43.1          ,52,1,1,-,-,-,-,-,-,-,-,-,2,9,13,8,8,3,4,3,-
D43.2          ,118,1,-,-,-,-,-,-,-,4,3,4,2,13,11,14,19,20,21,6,-
D43.3          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
D43.4          ,14,-,-,-,-,-,-,1,-,-,1,-,1,2,3,2,1,1,2,-,-
D43.7          ,27,-,-,-,-,-,1,-,1,-,-,1,1,2,3,5,3,3,5,1,1
D43.9          ,164,-,1,-,-,1,-,-,-,1,5,4,9,6,16,26,28,28,25,13,1
D44.0          ,14,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,4,4,1,1
D44.1          ,9,-,-,-,-,-,-,-,-,-,-,1,-,-,2,1,1,4,-,-,-
D44.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D44.3          ,11,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,2,2,2,-,-
D44.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D44.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
D44.9          ,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,1,-,-
D45            ,50,-,-,-,-,-,-,-,-,-,-,-,1,2,4,5,13,8,12,5,-
D46.0          ,3,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
D46.2          ,11,-,-,-,-,-,-,-,-,1,-,-,-,1,1,3,2,3,-,-,-
D46.3          ,8,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,2,1,-
D46.4          ,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
D46.7          ,70,-,-,-,1,-,-,-,-,-,-,1,2,4,13,12,11,18,3,5,-
D46.9          ,510,1,-,-,-,1,-,-,2,2,5,5,10,24,54,65,72,108,111,42,8
D47.0          ,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,-,-
D47.1          ,133,-,-,-,-,-,-,-,-,1,2,5,6,8,27,26,18,19,14,5,2
D47.2          ,21,-,-,-,-,-,-,-,-,-,1,-,1,-,1,3,3,7,4,-,1
D47.3          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
D47.7          ,37,-,-,-,-,-,-,-,-,-,2,-,2,4,7,3,2,9,5,3,-
D47.9          ,156,-,-,-,-,-,1,1,1,2,2,4,11,12,20,16,21,30,26,9,-
D48.0          ,21,-,-,-,-,-,-,1,-,-,2,-,-,2,7,1,1,4,3,-,-
D48.1          ,19,-,-,-,-,-,-,-,-,-,-,-,2,3,4,1,2,4,3,-,-
D48.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
D48.3          ,32,-,-,-,-,-,-,-,-,-,-,1,3,2,4,3,4,3,7,3,2
D48.4          ,14,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,3,3,1,2,-
D48.5          ,12,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,1,2,1,4,-
D48.6          ,49,-,-,-,-,-,-,-,-,-,-,-,2,2,7,5,1,13,10,4,5
D48.7          ,56,-,-,-,-,-,-,1,-,-,1,1,1,3,6,10,4,14,11,4,-
D48.9          ,362,-,-,-,1,-,1,-,-,3,6,10,24,35,44,48,45,52,61,26,6
D53.1          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
D59.1          ,4,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1,-,-
D59.3          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
D59.8          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
D60.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D60.9          ,5,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,1,-,-,-
D61.0          ,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D61.1          ,3,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-
D61.3          ,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-
D61.8          ,7,-,-,1,-,-,1,-,-,-,-,-,-,-,1,1,-,1,2,-,-
D61.9          ,37,-,-,-,-,-,1,-,1,-,-,3,1,4,7,1,7,8,3,1,-
D62            ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D64.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D64.8          ,16,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,3,2,3,-
D64.9          ,10,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,3,2,-,-,-
D65            ,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-
D66            ,3,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-
D68.3          ,5,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,2,-,-,-
D68.9          ,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
D69.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
D69.3          ,9,-,-,-,-,-,1,-,-,-,-,-,1,1,1,2,-,2,-,1,-
D69.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D69.6          ,12,-,-,-,-,-,-,-,-,-,1,-,-,1,-,2,1,1,4,1,1
D69.8          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-
D69.9          ,9,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2,1,-,2,1,-
D70            ,10,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1,2,3,-,-,-
D72.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
D72.9          ,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
D73.3          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-
D73.5          ,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-
D73.8          ,3,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-
D73.9          ,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-
D75.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D75.2          ,8,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,4,-,1,-
D75.8          ,9,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,2,1
D75.9          ,13,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,2,5,1,-,-
D76.0          ,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
D76.1          ,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D76.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
D76.3          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-
D80.4          ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
D80.8          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
D80.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D82.1          ,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D82.3          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D83.9          ,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D84.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
D84.8          ,3,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-
D84.9          ,4,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,1,-,-,-,-
D86.0          ,8,-,-,-,-,-,-,-,1,-,-,2,2,-,1,1,1,-,-,-,-
D86.2          ,6,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,2,1,-,-,-
D86.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
D86.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-
D89.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D89.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
D89.9          ,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-
E03.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E03.5          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
E03.8          ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,1,-,-,-
E03.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-
E04.0          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
E05.0          ,8,-,-,-,-,-,-,1,-,-,1,-,1,1,1,-,1,-,1,1,-
E05.2          ,5,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1,-,-
E05.5          ,13,-,-,-,-,-,-,-,-,-,1,1,2,-,3,3,1,1,1,-,-
E05.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
E05.9          ,13,-,-,-,-,-,-,-,-,-,1,1,-,1,3,2,-,2,2,1,-
E07.9          ,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E10.0          ,45,-,-,-,-,-,2,2,4,2,2,3,2,2,3,9,4,4,4,-,2
E10.1          ,68,-,-,-,-,1,3,2,2,4,8,7,6,6,8,4,9,5,3,-,-
E10.2          ,167,-,-,-,-,-,1,2,2,4,8,8,8,9,35,23,11,20,28,6,2
E10.3          ,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-
E10.4          ,19,-,-,-,-,-,-,-,-,1,-,-,1,2,1,3,3,4,1,3,-
E10.5          ,239,-,-,-,-,-,-,-,5,1,9,4,11,21,36,44,33,35,22,17,1
E10.6          ,33,-,-,-,-,-,-,-,-,-,-,2,6,2,2,8,3,3,5,2,-
E10.7          ,768,-,-,-,-,-,5,6,16,17,26,34,55,73,112,119,73,97,90,35,10
E10.8          ,319,-,-,-,-,-,1,5,2,9,12,12,23,27,50,36,34,44,44,16,4
E11.0          ,83,-,-,-,-,-,-,-,-,-,2,2,3,10,10,6,16,14,12,7,1
E11.1          ,93,-,-,-,-,-,-,-,1,3,3,7,3,10,13,11,14,10,12,4,2
E11.2          ,738,-,-,-,-,-,-,-,-,2,3,6,15,45,79,99,114,143,146,64,22
E11.3          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
E11.4          ,102,-,-,-,-,-,-,-,-,-,1,2,1,10,13,12,16,17,18,12,-
E11.5          ,1130,-,-,-,-,-,1,2,3,5,5,16,43,81,118,156,159,210,189,115,27
E11.6          ,95,-,-,-,-,-,-,-,-,-,1,2,2,9,10,11,11,17,25,7,-
E11.7          ,3680,-,-,-,-,1,1,6,5,9,28,64,141,286,418,460,493,675,675,344,74
E11.8          ,1486,-,-,-,-,1,-,2,4,12,8,31,55,127,157,151,176,282,286,142,52
E12.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E12.1          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E12.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E12.7          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
E13.0          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-
E13.1          ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E13.2          ,5,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,1,-
E13.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E13.5          ,4,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-
E13.6          ,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,-
E13.7          ,12,-,-,-,-,-,-,-,1,-,1,1,2,-,1,4,1,1,-,-,-
E13.8          ,12,-,-,-,-,-,-,-,1,-,-,1,4,-,-,2,-,2,1,1,-
E14.0          ,9,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,1,-,3,1,-
E14.1          ,11,-,-,-,-,-,-,-,-,2,-,2,2,1,1,2,1,-,-,-,-
E14.2          ,12,-,-,-,-,-,-,-,1,-,-,-,-,-,3,2,3,2,1,-,-
E14.5          ,9,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,5,1,-,-
E14.6          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-
E14.7          ,53,-,-,-,-,-,1,-,-,-,1,1,5,5,9,4,6,7,6,6,2
E14.8          ,70,-,-,-,-,-,1,1,1,2,1,1,2,6,8,3,15,11,11,7,-
E16.2          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-
E16.8          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-
E20.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E21.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E21.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E23.0          ,5,1,-,-,-,-,-,-,1,-,-,1,-,1,1,-,-,-,-,-,-
E24.0          ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E24.9          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
E27.1          ,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
E27.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
E27.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E27.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E27.9          ,2,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-
E31.0          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E34.0          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-
E41            ,219,-,-,-,-,-,-,-,1,2,6,3,5,12,33,25,30,31,40,23,8
E42            ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
E43            ,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1
E44.0          ,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
E46            ,4,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-
E51.2          ,3,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-
E63.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E66.0          ,106,-,-,-,1,1,3,1,3,4,12,11,12,14,21,12,7,3,1,-,-
E66.2          ,64,-,-,-,-,-,1,4,5,5,6,7,7,6,10,8,4,-,1,-,-
E66.8          ,67,-,-,-,-,-,-,1,-,5,4,9,11,12,11,6,4,2,2,-,-
E66.9          ,58,-,-,-,-,-,-,1,3,6,4,2,7,7,13,8,3,4,-,-,-
E70.9          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E71.1          ,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E71.2          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
E71.3          ,4,1,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E72.8          ,5,2,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
E74.0          ,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
E74.4          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E75.0          ,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E75.1          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E75.2          ,7,3,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
E75.4          ,4,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E76.0          ,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E76.1          ,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E76.2          ,4,-,-,1,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E77.8          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E78.0          ,5,-,-,-,-,-,-,1,2,-,-,-,1,-,-,-,-,-,-,-,1
E78.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E78.8          ,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E78.9          ,3,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-
E80.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E83.0          ,4,-,1,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-
E83.1          ,3,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-
E84.0          ,11,-,-,1,4,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-
E84.1          ,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E84.8          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
E84.9          ,3,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E85.0          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
E85.3          ,4,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-
E85.4          ,5,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,-,-,-,-,-
E85.8          ,5,-,-,-,-,-,-,-,-,-,-,-,2,1,-,2,-,-,-,-,-
E85.9          ,13,-,-,-,-,-,-,-,-,1,1,-,3,-,3,3,1,1,-,-,-
E86            ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
E88.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E88.1          ,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E88.2          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E88.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
F01.1          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
F01.3          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
F01.9          ,60,-,-,-,-,-,-,-,-,-,1,-,-,-,1,2,5,7,24,12,8
F03            ,336,-,-,-,-,-,-,1,-,-,-,-,1,9,11,11,34,75,115,54,25
F05.1          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
F06.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
F06.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
F06.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-
F06.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
F07.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
